ep_num,final_judgement,hosts,notes,scraped_date
245,Split Decision,The Peaches,,2017-12-12
244,Split Decision,The Peaches,,2017-12-12
243,Bad Bad,The Peaches,,2017-12-12
242,NA,"Dan, Elliott, Jordan",Recorded at the Regent Theatre in Los Angeles. Guest Host: Jordan Morris,2017-12-12
241,NA,The Peaches,,2017-12-12
240,NA,The Peaches,,2017-12-12
239,NA,The Peaches,,2017-12-12
238,NA,The Peaches,,2017-12-12
237,NA,The Peaches,The 10th Anniversary Special!,2017-12-12
236,NA,The Peaches,"Recorded at The Bell House in Gowanus, Brooklyn",2017-12-12
235,NA,The Peaches,,2017-12-12
234,NA,The Peaches,,2017-12-12
233,Bad Bad,The Peaches,,2017-12-12
232,NA,The Peaches,,2017-12-12
231,Bad Bad,"Dan, Stuart, Paul",Guest Host: Paul Sabourin,2017-12-12
230,Split Decision,The Peaches,,2017-12-12
229,Bad Bad,The Peaches,,2017-12-12
228,Bad Bad,The Peaches,,2017-12-12
227,Split Decision,"The Peaches, Hodgman",MaxFunDrive bonus episode. Guest Host: John Hodgman,2017-12-12
226,Bad Bad,The Peaches,,2017-12-12
225,Good Bad,The Peaches,,2017-12-12
224,Bad Bad,The Peaches,,2017-12-12
223,Bad Bad,The Peaches,,2017-12-12
222,Bad Bad,The Peaches,,2017-12-12
221,Bad Bad,The Peaches,,2017-12-12
220,Kinda Liked,The Peaches,,2017-12-12
219,Good Bad,The Peaches,,2017-12-12
218,Split Decision,The Peaches,,2017-12-12
217,Split Decision,The Peaches,,2017-12-12
216,Bad Bad,The Peaches,,2017-12-12
215,Bad Bad,"The Peaches, Hallie",Guest Host: Hallie Haglund,2017-12-12
214,Split Decision,The Peaches,,2017-12-12
213,Bad Bad,The Peaches,,2017-12-12
212,Good Bad,The Peaches,,2017-12-12
211,Bad Bad,The Peaches,,2017-12-12
210,Split Decision,The Peaches,"Recorded at The Bell House in Gowanus, Brooklyn on January 15, 2016.",2017-12-12
209,Split Decision,"Dan, Stuart, Zhubin",Guest Host: Zhubin Parang,2017-12-12
208,Bad Bad,The Peaches,,2017-12-12
207,Kinda Liked,The Peaches,,2017-12-12
206,Split Decision,"Dan, Stuart, Hallie",Guest Host: Hallie Haglund,2017-12-12
205,Split Decision,The Peaches,Recorded at Cake Shop as part of NYC Podfest.,2017-12-12
204,Split Decision,The Peaches,,2017-12-12
203,Kinda Liked,The Peaches,,2017-12-12
202,Split Decision,The Peaches,,2017-12-12
201,Bad Bad,The Peaches,,2017-12-12
200,Bad Bad,"The Peaches, Hodgman",Guest Host: John Hodgman,2017-12-12
199,Bad Bad,The Peaches,,2017-12-12
198,Bad Bad,The Peaches,,2017-12-12
197,Kinda Liked,The Peaches,,2017-12-12
196,Bad Bad,The Peaches,,2017-12-12
195,Split Decision,The Peaches,,2017-12-12
194,Bad Bad,The Peaches,,2017-12-12
193,Bad Bad,"The Peaches, David",Guest Host: David Kalan,2017-12-12
192,Split Decision,The Peaches,,2017-12-12
191,Bad Bad,The Peaches,,2017-12-12
190,Bad Bad,"The Peaches, Hallie",Guest Host: Hallie Haglund,2017-12-12
189,Bad Bad,The Peaches,,2017-12-12
188,Split Decision,The Peaches,,2017-12-12
187,Good Bad,The Peaches,,2017-12-12
186,Good Bad,The Peaches,,2017-12-12
185,Bad Bad,The Peaches,,2017-12-12
184,Kinda Liked,The Peaches,,2017-12-12
183,Good Bad,"The Peaches, Hallie",Guest Host: Hallie Haglund,2017-12-12
182,Bad Bad,"Dan, Stuart, Jordan",Guest Host: Jordan Morris,2017-12-12
181,Bad Bad,The Peaches,,2017-12-12
180,Bad Bad,The Peaches,,2017-12-12
179,Split Decision,The Peaches,,2017-12-12
178,Bad Bad,The Peaches,,2017-12-12
177,Bad Bad,The Peaches,,2017-12-12
176,Bad Bad,The Peaches,,2017-12-12
175,Bad Bad,The Peaches,,2017-12-12
174,Split Decision,The Peaches,,2017-12-12
173,Bad Bad,The Peaches,,2017-12-12
172,Bad Bad,The Peaches,,2017-12-12
171,Bad Bad,The Peaches,,2017-12-12
170,Split Decision,The Peaches,,2017-12-12
169,Split Decision,The Peaches,"Recorded at The Bell House in Gowanus, Brooklyn.",2017-12-12
168,Bad Bad,The Peaches,,2017-12-12
167,Bad Bad,The Peaches,,2017-12-12
166,Bad Bad,The Peaches,,2017-12-12
165,Bad Bad,The Peaches,,2017-12-12
164,Bad Bad,The Peaches,,2017-12-12
163,Good Bad,The Peaches,,2017-12-12
162,Bad Bad,"The Peaches, Hallie",Guest Host: Hallie Haglund,2017-12-12
161,Good Bad,The Peaches,,2017-12-12
160,Bad Bad,The Peaches,,2017-12-12
159,Bad Bad,"Dan, Stuart, Kevin",Guest Host: Kevin Maher,2017-12-12
158,Bad Bad,The Peaches,,2017-12-12
157,Good Bad,The Peaches,,2017-12-12
156,Split Decision,"The Peaches, Jessica",Guest Host: Jessica Williams,2017-12-12
155,Split Decision,The Peaches,,2017-12-12
154,Split Decision,The Peaches,,2017-12-12
153,Bad Bad,The Peaches,,2017-12-12
152,Good Bad,The Peaches,,2017-12-12
151,Split Decision,The Peaches,We Hate Movies crossover,2017-12-12
150,Bad Bad,The Peaches,,2017-12-12
149,Bad Bad,The Peaches,,2017-12-12
148,Split Decision,The Peaches,,2017-12-12
147,Bad Bad,The Peaches,Awards Floptacular,2017-12-12
146,Bad Bad,The Peaches,Film picked by a contest winner.,2017-12-12
145,Bad Bad,The Peaches,Elliott's first episode back from paternity leave.,2017-12-12
144,Bad Bad,"Dan, Stuart, Hallie",“­My letter is read on this episode. Probably my greatest achievement in life.”      —Little Dick Whitman,2017-12-12
143,Good Bad,"Dan, Stuart, Hallie",Guest Host: Hallie Haglund,2017-12-12
142,Bad Bad,The Peaches,,2017-12-12
141,Split Decision,The Peaches,,2017-12-12
140,Bad Bad,The Peaches,,2017-12-12
139,Split Decision,The Peaches,Part of Podcrawl 2013,2017-12-12
138,Good Bad,The Peaches,,2017-12-12
137,Bad Bad,The Peaches,,2017-12-12
136,Bad Bad,The Peaches,,2017-12-12
135,Bad Bad,The Peaches,,2017-12-12
134,Bad Bad,"The Peaches, Hallie",Guest Host: Hallie Haglund,2017-12-12
133,Kinda Liked,The Peaches,,2017-12-12
132,Kinda Liked,The Peaches,,2017-12-12
131,Bad Bad,The Peaches,,2017-12-12
130,Bad Bad,The Peaches,,2017-12-12
129,Bad Bad,The Peaches,,2017-12-12
128,Bad Bad,The Peaches,,2017-12-12
127,Bad Bad,The Peaches,,2017-12-12
126,Bad Bad,The Peaches,,2017-12-12
125,Bad Bad,The Peaches,,2017-12-12
124,Kinda Liked,The Peaches,,2017-12-12
123,Bad Bad,The Peaches,,2017-12-12
122,Split Decision,The Peaches,,2017-12-12
121,Bad Bad,The Peaches,,2017-12-12
120,Bad Bad,The Peaches,,2017-12-12
119,Split Decision,The Peaches,,2017-12-12
118,Bad Bad,The Peaches,,2017-12-12
117,Split Decision,The Peaches,,2017-12-12
116,Split Decision,"Dan, Elliott, Hallie",Guest Host: Hallie Haglund,2017-12-12
115,Bad Bad,The Peaches,,2017-12-12
114,Split Decision,The Peaches,,2017-12-12
113,Bad Bad,The Peaches,,2017-12-12
112,Bad Bad,The Peaches,,2017-12-12
111,Bad Bad,The Peaches,,2017-12-12
110,Bad Bad,The Peaches,,2017-12-12
109,Kinda Liked,The Peaches,,2017-12-12
108,Split Decision,The Peaches,,2017-12-12
107,Bad Bad,The Peaches,,2017-12-12
106,Bad Bad,The Peaches,,2017-12-12
105,Bad Bad,The Peaches,,2017-12-12
104,Bad Bad,"Dan, Elliott, Zhubin",Guest Host: Zhubin Parang,2017-12-12
103,Split Decision,The Peaches,,2017-12-12
102,Bad Bad,The Peaches,,2017-12-12
101,Good Bad,The Peaches,Guest Host: Al Madrigal,2017-12-12
100,Good Bad,The Peaches,,2017-12-12
99,Bad Bad,The Peaches,,2017-12-12
98,Bad Bad,The Peaches,,2017-12-12
97,NA,The Peaches,Awards Floptacular,2017-12-12
96,Bad Bad,The Peaches,,2017-12-12
95,Good Bad,"Dan, Elliott, Zhubin",Guest Host: Zhubin Parang,2017-12-12
94,Split Decision,The Peaches,,2017-12-12
93,Split Decision,The Peaches,,2017-12-12
92,Bad Bad,The Peaches,,2017-12-12
91,Split Decision,"Dan, Elliott, Hallie",Guest Host: Hallie Haglund,2017-12-12
90,Good Bad,"The Peaches, Alex",Guest Host: Alex Smith,2017-12-12
89,Split Decision,The Peaches,,2017-12-12
88,Bad Bad,"Dan, Stuart, Tom",Guest Host: Tom Silvestro,2017-12-12
87,Bad Bad,The Peaches,,2017-12-12
86,Bad Bad,The Peaches,,2017-12-12
85,Split Decision,The Peaches,,2017-12-12
84,Bad Bad,The Peaches,,2017-12-12
83,Bad Bad,The Peaches,,2017-12-12
82,Kinda Liked,The Peaches,,2017-12-12
81,Bad Bad,The Peaches,,2017-12-12
80,Good Bad,The Peaches,,2017-12-12
79,Kinda Liked,"Dan, Elliott, Wyatt",Guest Host: Wyatt Cenac,2017-12-12
78,Split Decision,"Dan, Stuart, Andy",Guest Host: Andy Rocco,2017-12-12
77,Bad Bad,The Peaches,,2017-12-12
76,NA,The Peaches,Awards Floptacular,2017-12-12
75,Bad Bad,The Peaches,,2017-12-12
74,Bad Bad,The Peaches,,2017-12-12
73,Split Decision,The Peaches,,2017-12-12
72,Bad Bad,"Dan, Stuart, Lou",Guest Host: Lou Fernandez,2017-12-12
71,Bad Bad,The Peaches,,2017-12-12
70,Bad Bad,The Peaches,,2017-12-12
69,Split Decision,The Peaches,,2017-12-12
68,Split Decision,The Peaches,Film picked by a contest winner.,2017-12-12
67,Bad Bad,"Dan, Stuart, John",Guest Host: John Kingman,2017-12-12
66,Split Decision,"Dan, Elliott, Federico",Guest Host: Federico Hatoum,2017-12-12
65,Bad Bad,The Peaches,,2017-12-12
64,Bad Bad,The Peaches,,2017-12-12
63,Bad Bad,The Peaches,,2017-12-12
62,Bad Bad,The Peaches,,2017-12-12
61,Bad Bad,The Peaches,,2017-12-12
60,Split Decision,"Dan, Stuart, Brock",Guest Host: Brock Mahan,2017-12-12
59,Bad Bad,The Peaches,,2017-12-12
58,Bad Bad,The Peaches,,2017-12-12
57,Split Decision,"Dan, Elliott, Eric",Guest Host: Eric Zuckerman,2017-12-12
56,Bad Bad,"Dan, Elliott, Amanda",Guest Host: Amanda Melson,2017-12-12
55,Bad Bad,The Peaches,,2017-12-12
54,Bad Bad,"Dan, Elliott, Matt",Guest Host: Matt Koff,2017-12-12
53,Split Decision,The Peaches,,2017-12-12
52,Split Decision,"Dan, Stuart, Nigel",Guest Host: Nigel Wood,2017-12-12
51,Bad Bad,"The Peaches, Dash",Film picked by a contest winner.,2017-12-12
50,Bad Bad,The Peaches,,2017-12-12
49,Split Decision,The Peaches,,2017-12-12
48,Split Decision,The Peaches,,2017-12-12
47,Good Bad,The Peaches,,2017-12-12
46,Bad Bad,The Peaches,,2017-12-12
45,Good Bad,"The Peaches, Bob, Ritch",Guest Hosts: Bob Powers and Ritch Duncan,2017-12-12
44,Bad Bad,The Peaches,,2017-12-12
43,Bad Bad,"Dan, Elliott, Meghan",Guest Host: Meghan O'Neill,2017-12-12
42,Good Bad,"Dan, Stuart, Brock",Guest Host: Brock Mahan,2017-12-12
41,Good Bad,The Peaches,,2017-12-12
40,Kinda Liked,The Peaches,,2017-12-12
39,Bad Bad,"Dan, Stuart, Amanda",Guest Host: Amanda Melson,2017-12-12
38,Split Decision,The Peaches,,2017-12-12
37,Bad Bad,The Peaches,,2017-12-12
36,Bad Bad,The Peaches,,2017-12-12
35,Split Decision,The Peaches,,2017-12-12
34,Bad Bad,The Peaches,,2017-12-12
33,Bad Bad,The Peaches,,2017-12-12
32,NA,The Peaches,Awards Floptacular,2017-12-12
31,Bad Bad,"Dan, Stuart, Will",Guest Host: Will Hines,2017-12-12
30,Bad Bad,The Peaches,,2017-12-12
29,Bad Bad,The Peaches,,2017-12-12
28,Bad Bad,The Peaches,,2017-12-12
27,Split Decision,The Peaches,,2017-12-12
26,Bad Bad,"Dan, Elliott",Stuart is absent.,2017-12-12
25,Split Decision,The Peaches,,2017-12-12
24,Bad Bad,The Peaches,,2017-12-12
23,Split Decision,"Dan, Elliott, Ritch",Guest Host: Ritch Duncan,2017-12-12
22,Bad Bad,"Dan, Stuart, Sara",Guest Host: Sara Schaefer,2017-12-12
21,Good Bad,The Peaches,,2017-12-12
20,Bad Bad,The Peaches,,2017-12-12
19,Bad Bad,The Peaches,,2017-12-12
18,Bad Bad,"Dan, Stuart, Matt",Guest Host: Matt Koff,2017-12-12
17,Bad Bad,The Peaches,,2017-12-12
16,Bad Bad,"Dan, Stuart, Lou",Guest Host: Lou Fernandez,2017-12-12
15,Good Bad,The Peaches,,2017-12-12
14,Good Bad,The Peaches,,2017-12-12
13,Bad Bad,The Peaches,,2017-12-12
12,Bad Bad,The Peaches,,2017-12-12
11,NA,The Peaches,Awards Floptacular,2017-12-12
10,Bad Bad,"Dan, Stuart, Ritch",Guest Host: Ritch Duncan,2017-12-12
9,Split Decision,"Dan, Stuart, Frank",Guest Host: Frank Lesser,2017-12-12
8,Split Decision,The Peaches,,2017-12-12
7,Split Decision,"Dan, Stuart, Jeanette",Guest Host: Jeanette Lahr,2017-12-12
6,Split Decision,"Dan, Stuart, Simon",The end of the Simon era.,2017-12-12
5,Split Decision,"Dan, Stuart, Simon",,2017-12-12
4,Split Decision,"Dan, Stuart, Simon",,2017-12-12
3,Bad Bad,"Dan, Stuart, Simon",,2017-12-12
2,Split Decision,"Dan, Stuart, Simon",,2017-12-12
1,Bad Bad,"Dan, Stuart, Simon",,2017-12-12
